PAÍS,CONTINENTE
Chipre del Norte,Asia
Islas Marianas del Norte,Oceanía
Noruega,Europa
Omán,Asia
Pakistán,Asia
Palaos,Oceanía
Palestina,Asia
Panamá,América
Papúa Nueva Guinea,Oceanía
Paraguay,América
Parma,Europa
Perú,América
Filipinas,Asia
Pitcairn,Oceanía
Polonia,Europa
Portugal,Europa
Puerto Rico,América
Catar,Asia
República de Vietnam,Asia
Reunión,África
Rumania,Europa
Rusia,Europa
Ruanda,África
San Bartolomé,América
Santa Elena,África
San Cristóbal y Nieves,América
Santa Lucía,América
San Martín (parte francesa),América
San Pedro y Miquelón,América
San Vicente y las Granadinas,América
Samoa,Oceanía
San Marino,Europa
Santo Tomé y Príncipe,África
Arabia Saudí,Asia
Sajonia,Europa
Senegal,África
Serbia,Europa
Serbia y Montenegro,Europa
Serbia excluyendo Kosovo,Europa
Seychelles,África
Sierra Leona,África
Singapur,Asia
Sint Maarten,América
Eslovaquia,Europa
Eslovenia,Europa
Islas Salomón,Oceanía
Somalia,África
Somalilandia,África
Sudáfrica,África
Islas Georgias del Sur y Sandwich del Sur,América
Corea del Sur,Asia
Osetia del Sur,Asia
Sudán del Sur,África
España,Europa
Sri Lanka,Asia
Sudán,África
Surinam,América
Svalbard y Jan Mayen,Europa
Suecia,Europa
Suiza,Europa
Siria,Asia
Taiwán,Asia
Tayikistán,Asia
Tanzania,África
Tailandia,Asia
Timor,Asia
Togo,África
Tokelau,Oceanía
Tonga,Oceanía
Transnistria,Europa
Trinidad y Tobago,América
Túnez,África
Turquía,Asia
Turkmenistán,Asia
Islas Turcas y Caicos,América
Toscana,Europa
Tuvalu,Oceanía
Dos Sicilias,Europa
URSS,Europa
Uganda,África
Ucrania,Europa
Emiratos Árabes Unidos,Asia
Reino Unido,Europa
Corea Unida,Asia
Estados Unidos,América
Islas Menores Alejadas de los Estados Unidos,Oceanía
Islas Vírgenes de los Estados Unidos,América
Uruguay,América
Uzbekistán,Asia
Vanuatu,Oceanía
Vaticano,Europa
Venezuela,América
Vietnam,Asia
Wallis y Futuna,Oceanía
Alemania Occidental,Europa
Sáhara Occidental,África
Wuerttemburg,Europa
Yemen,Asia
República Árabe de Yemen,Asia
República Popular Democrática de Yemen,Asia
Yugoslavia,Europa
Zambia,África
Zanzíbar,África
Zimbabue,África
Islas Åland,Europa
